date,state-ids,death,hospitalized,negative,positive
2020-10-09,27,2395,,1260455,139164
2020-10-09,28,2,4,15121,75
2020-10-09,29,3080,6053,704655,103681
2020-10-09,30,206,868,369347,17399
2020-10-09,31,3747,,3083854,227431
2020-10-09,32,234,1037,229156,26040
2020-10-09,33,514,2481,444408,50059
2020-10-09,34,449,747,278750,8878
2020-10-09,35,16164,23821,3666975,212013
2020-10-09,36,899,3652,942189,31756
2020-10-09,37,1657,,645641,84593
2020-10-09,38,25561,89995,11315044,471696
2020-10-09,39,4994,16301,3371860,166102
2020-10-09,40,1091,7124,1224883,97088
2020-10-09,41,597,2741,694145,36526
2020-10-09,42,8308,,1999765,169308
2020-10-09,43,720,,305972,52892
2020-10-09,44,1130,2902,341767,26294
2020-10-09,45,3530,9519,1296892,155676
2020-10-09,46,277,1782,186938,27215
2020-10-09,47,2732,9133,2905769,211003
2020-10-09,48,16432,,5960200,785830
2020-10-09,49,505,4220,817758,83290
2020-10-09,50,3344,19299,2071582,156649
2020-10-09,51,20,,20434,1324
2020-10-09,52,58,,168593,1846
2020-10-09,53,2183,7733,1924553,91918
2020-10-09,54,1451,8199,1518662,152631
2020-10-09,55,376,,599916,17707
2020-10-09,56,54,317,103176,7335
2020-10-08,1,60,,481175,9996
2020-10-08,2,2637,17989,1042046,161975
2020-10-08,3,1503,5805,1025546,90145
2020-10-08,4,0,,1616,0
2020-10-08,5,5743,20171,1312499,223401
2020-10-08,6,16361,,14788823,834800
2020-10-08,7,1990,7771,905115,74922
2020-10-08,8,4527,11845,1719510,59748
2020-10-08,9,634,,401051,15765
2020-10-08,10,651,,279820,21682
2020-10-08,11,15254,46005,4763745,726013
2020-10-08,12,7294,29386,2755714,327407
2020-10-08,13,58,,51137,2934
2020-10-08,14,163,894,295153,13232
2020-10-08,15,1421,,710892,92145
2020-10-08,16,500,1972,283108,45753
2020-10-08,17,9159,,5795080,313439
2020-10-08,18,3742,13537,1321714,129677
2020-10-08,19,723,3121,485446,63952
2020-10-08,20,1234,5814,1433783,77455
2020-10-08,21,5609,,2267066,173149
2020-10-08,22,9565,12830,2226548,136936
2020-10-08,23,3979,15898,1566874,129425
2020-10-08,24,142,459,476976,5639
2020-10-08,25,7193,,3775347,146493
2020-10-08,26,2160,8187,1418637,107922
2020-10-08,27,2259,,1249983,137156
2020-10-08,28,2,4,15121,75
2020-10-08,29,3074,6053,704655,102819
2020-10-08,30,197,851,364988,16677
2020-10-08,31,3722,,3043558,225397
2020-10-08,32,234,1016,228023,25384
2020-10-08,33,507,2468,440734,49396
2020-10-08,34,449,747,278750,8878
2020-10-08,35,16160,23763,3631519,211148
2020-10-08,36,896,3625,933947,31372
2020-10-08,37,1649,,640371,83827
2020-10-08,38,25555,89995,11177336,470104
2020-10-08,39,4983,16200,3325468,164262
2020-10-08,40,1085,7022,1209306,95564
2020-10-08,41,594,2727,688262,36116
2020-10-08,42,8299,,1985103,167928
2020-10-08,43,715,,305972,52294
2020-10-08,44,1127,2889,338269,26045
2020-10-08,45,3514,9475,1275884,154755
2020-10-08,46,272,1717,184850,26411
2020-10-08,47,2705,9094,2880406,209447
2020-10-08,48,16334,,5921312,781794
2020-10-08,49,501,4167,810075,81947
2020-10-08,50,3328,19211,2042835,155535
2020-10-08,51,20,,20366,1322
2020-10-08,52,58,,167564,1838
2020-10-08,53,2177,7703,1896269,91208
2020-10-08,54,1435,8061,1506828,149467
2020-10-08,55,370,,592335,17325
2020-10-08,56,54,313,101850,7092
2020-10-07,1,59,,480213,9861
2020-10-07,2,2601,17915,1038526,161418
2020-10-07,3,1482,5740,1012643,88880
2020-10-07,4,0,,1616,0
2020-10-07,5,5733,20050,1300948,222538
2020-10-07,6,16228,,14725481,831225
2020-10-07,7,1983,7721,896400,74191
2020-10-07,8,4522,11699,1692681,59364
2020-10-07,9,632,,396959,15697
2020-10-07,10,649,,277623,21550
2020-10-07,11,15084,45777,4737004,722707
2020-10-07,12,7259,29308,2732045,326142
2020-10-07,13,57,,50620,2868
2020-10-07,14,160,889,295153,13124
2020-10-07,15,1415,,705173,90884
2020-10-07,16,492,1932,281109,45082
2020-10-07,17,9127,,5725648,310380
2020-10-07,18,3727,13430,1312690,128227
2020-10-07,19,723,3121,485446,63952
2020-10-07,20,1223,5679,1415183,76587
2020-10-07,21,5604,,2255290,172625
2020-10-07,22,9557,12807,2212922,136492
2020-10-07,23,3973,15843,1555240,128664
2020-10-07,24,142,459,470145,5604
2020-10-07,25,7169,,3734543,145092
2020-10-07,26,2154,8089,1404490,106651
2020-10-07,27,2236,,1239364,135651
2020-10-07,28,2,4,15121,75
2020-10-07,29,3051,6053,704655,102241
2020-10-07,30,193,820,360113,16063
2020-10-07,31,3693,,3012304,222969
2020-10-07,32,226,995,226816,24857
2020-10-07,33,507,2436,437237,48757
2020-10-07,34,448,745,276328,8800
2020-10-07,35,16152,23639,3571960,209850
2020-10-07,36,894,3609,929987,30947
2020-10-07,37,1636,,637162,83347
2020-10-07,38,25545,89995,11033361,468268
2020-10-07,39,4970,16091,3296146,162723
2020-10-07,40,1075,6929,1196271,94352
2020-10-07,41,583,2705,682934,35634
2020-10-07,42,8272,,1967542,166552
2020-10-07,43,705,,305972,51768
2020-10-07,44,1126,2873,331574,25776
2020-10-07,45,3502,9392,1256891,153705
2020-10-07,46,258,1697,182874,25906
2020-10-07,47,2642,9035,2855088,207455
2020-10-07,48,16230,,5886884,777556
2020-10-07,49,496,4113,800994,80446
2020-10-07,50,3303,19192,2024851,153691
2020-10-07,51,20,,20273,1321
2020-10-07,52,58,,166194,1827
2020-10-07,53,2165,7673,1870404,90663
2020-10-07,54,1426,7951,1493304,146193
2020-10-07,55,369,,586206,17139
2020-10-07,56,53,305,100946,6899
2020-10-06,1,58,,469787,9587
2020-10-06,2,2580,17699,1031293,160477
2020-10-06,3,1447,5658,1003441,88071
2020-10-06,4,0,,1616,0
2020-10-06,5,5713,19987,1294273,221934
